Sl. No.,State/UT,Fatal Accidents,Grievous Injury Accidents,Minor Injury Accidents,Non-Injury Accidents,Total Accidents
1,Andhra Pradesh,7516,3999,7029,1405,19949
2,Arunachal Pradesh,124,104,26,33,287
3,Assam,3101,3791,281,248,7421
4,Bihar,8286,2161,175,392,11014
5,Chhattisgarh,5743,1381,4775,1569,13468
6,Goa,272,203,528,1843,2846
7,Gujarat,7225,5723,2261,1140,16349
8,Haryana,4652,2984,2461,366,10463
9,Himachal Pradesh,727,553,820,153,2253
10,Jharkhand,3799,1267,99,150,5315
11,Karnataka,11603,20195,8370,3272,43440
12,Kerala,3884,34405,7691,2111,48091
13,Madhya Pradesh,12745,6329,31343,4910,55327
14,Maharashtra,14119,13836,4796,2492,35243
15,Manipur,71,114,205,8,398
16,Meghalaya,151,59,5,8,223
17,Mizoram,80,14,5,7,106
18,Nagaland,75,63,94,71,303
19,Odisha,5395,4534,1704,359,11992
20,Punjab,4516,1255,423,75,6269
21,Rajasthan,10657,3771,9530,736,24694
22,Sikkim,56,68,44,14,182
23,Tamil Nadu,17526,23686,24555,1446,67213
24,Telangana,7186,2476,10494,2747,22903
25,Tripura,242,330,3,2,577
26,Uttarakhand,925,572,125,69,1691
27,Uttar Pradesh,21653,14177,7752,952,44534
28,West Bengal,5664,7027,884,220,13795
29,Andaman and Nicobar Islands,23,43,49,28,143
30,Chandigarh,64,2,95,21,182
31,Dadra and Nagar Haveli and Daman and Diu,73,91,1,17,182
32,Delhi,1432,216,4067,119,5834
33,Jammu and Kashmir,730,2564,2426,578,6298
34,Ladakh,49,29,185,26,289
35,Lakshadweep,0,1,0,0,1
36,Puducherry,145,553,547,63,1308
Total,Total,160509,158576,133848,27650,480583
